Q107156759      George Washington Henderson     George Washington Henderson.png
Q114894460      Richard Henry Greene    Gravestone flag A532DCF5-1E16-4630-942F-A8C1DB760E22.jpg
Q116761668      George William Stanley Ish      George William Stanley Ish.tif
Q130226193      Alexander Joseph Allen, Jr.     Alexander Joseph Allen, Jr.tif
Q130227704      Frank William Adams     Frank William Adams.tif
Q130228060      Joseph Henry Artope     Joseph Henry Artope.tif
Q130228291      William Mobile Ashby    William Mobile Ashby.tif
Q130228554      Junius Crowley Ayler    Ayler, Junius Crowley.jpg
Q130229049      John Wesley Anderson    John Wesley Anderson.tif
Q130236135      Edward Francis Barrow   Edward F. Barrow.tif
Q130246199      Ebenezer Don Carlos Bassett, Jr.        Ebenezer Bassett, Jr.tif
Q130246224      Ulysses Simpson Grant Bassett   Ulysses Simpson Grant Bassett.tif
Q130246748      Charles C. Beckett      Charles C. Beckett.jpg
Q130246781      Stephen Alexander Bennett       Bennett, Stephen Alexander.tif
Q130246785      Eli George Biddle       Eli George Biddle.jpg
Q130246794      Robert H. Bonner        Robert H. Bonner.tif
Q130246800      Frederick Douglass Bonner       Frederick Douglass Bonner.tif
Q130246804      Frederick Willis Bonner Frederick Willis Bonner.jpg
Q130246830      Harry Oscar Bowles      Rev. Harry Bowles.jpg
Q130246843      Charles Henry Boyer     Charles H. Boyer.tif
Q130246911      Charles W. Burton       Charles W. Burton.tif
Q130266858      Earley Emmett Caple     Earley Emmett Caple.jpg
Q130266866      Virginius Nelson Carney Virginius Nelson Carney.tif
Q130266872      Samuel Moss Carter      Samuel Moss Carter.tif
Q130266880      Charles A. Chandler     Charles A. Chandler.tif
Q130266888      Raymond Alexander Augustus Claymes      Raymond A. A. Claymes.tif
Q130266892      Josephus R. Coan        Josephus R. Coan.tif
Q130266903      William Hilary Coston   William Hilary Coston.png
Q130267201      George Edwin Covington  G. Edwin Covington.jpg
Q139412 Zachariah Keodirelang Matthews  ZKMatthewsUFH.JPG
Q1766103        Alexander Crummell      Alexander Crummel (cropped).png
Q24436511       Orishatukeh Faduma      Orishatukeh Faduma (page 48 crop).jpg
Q3161465        James W.C. Pennington   Wcpennington.jpg
Q3482354        Shirley Graham Du Bois  Carl Van Vechten - Shirley Graham Du Bois.jpg
Q42301532       Ira David Pinson        Ira David Pinson 1918.jpg
Q4575186        Jane Bolin      Bolin Family Burial Plot.jpg
Q4575186        Jane Bolin      Jane Bolin 1942.jpg
Q4678866        Adam Clayton Powell, Sr.        Adam Clayton Powell Sr.jpg
Q5078669        Charles Harris Wesley   Charles H. Wesley at the Opening of the Emancipation Proclamation Exhibit - DPLA - 809356a55ec3c63e1ec109c7c6578d0d.jpg
Q51719354       Thomas Nelson Baker Sr. Thomas Nelson Baker, Sr.tif
Q5341956        Edward Bouchet  Edward Alexander Bouchet Yale College class of 1874.jpg
Q5722409        Henry Hugh Proctor      Henry H Proctor.jpg
Q6163895        Jasper Alston Atkins    Atkins, Jasper Alston.tif
Q6163895        Jasper Alston Atkins    Yale Law School Class of 1921 Atkins Chandler Gibbs Pierce.jpg
Q6230966        John Edward West Thompson       Dr. J. E. W. Thompson, Permanent Chairman. NYPL 1259990-edit.jpg
Q65048475       George Henry Jackson    Rev. George Henry Jackson, S.T.B., M.D.jpg
Q7108504        Otelia Cromwell OteliaCromwell1926.png
Q8008849        William Fletcher Penn   William f Penn 1902.jpg
Q8016870        William Pickens William Pickens, chief, Negro Organizational Section, War Savings staff, Department of the Treasury (cropped).jpg
Q93232978       William Augustus Banner William Augustus Banner.tif
Q94622912       Nimrod Booker Allen     Nimrod Booker ALlen.tif
Q94622912       Nimrod Booker Allen     Nimrod Booker Allen photograph - DPLA - 612beeacfa5343dcec32ba85dba103c2 (page 1).jpg
