qid,decades
Q130227704,1910s
Q94622912,1910s
Q130226193,1930s; 1940s
Q94622916,1910s
Q130314908,1920s
Q130229049,1910s
Q130314906,1870s
Q130228060,1890s
Q130228291,1910s
Q6163895,1920s; 1910s
Q130228554,1890s
Q51719354,1890s; 1900s
Q93232978,1930s
Q130236135,1900s
Q130246224,1890s
Q130246199,1880s
Q5331650,1850s
Q130246741,1910s
Q130246748,1930s
Q8020652,1920s
Q130246781,1900s
Q130246766,1910s
Q130246785,1880s; 1890s
Q132303773,1910s
Q4575186,1920s; 1930s
Q130246800,1890s; 1900s
Q130246804,1920s
Q130246794,1890s
Q130246821,1870s
Q5341956,1870s
Q130246830,1900s; 1910s
Q130295599,1920s
Q130246843,1890s; 1910s
Q130314909,1910s
Q130246861,1910s
Q130246911,1910s
Q130266858,1910s; 1920s
Q130314927,1920s
Q130266866,1900s
Q5343130,1930s
Q130266872,1930s
Q130266880,1920s
Q130266883,1920s; 1930s
Q130266888,1910s; 1920s
Q130266892,1930s
Q116360824,1870s
Q130266901,1910s
Q130266903,1880s
Q130267201,1930s
Q5546382,1900s
Q130267250,1850s
Q7108504,1920s
Q1766103,1840s
Q130285631,1920s; 1930s
Q130285645,1920s; 1930s
Q7114452,1930s
Q130285655,1910s; 1920s
Q3482354,1930s; 1940s
Q130285908,1920s
Q130285958,1910s
Q130286025,1900s
Q130286675,1850s; 1860s
Q19358021,1930s
Q130286686,1910s
Q130286691,1900s
Q130286693,1930s
Q24436511,1890s
Q132303763,1900s; 1910s
Q8010398,1890s
Q130286767,1850s; 1860s
Q51551851,1880s; 1890s
Q130286769,1910s; 1920s
Q130286776,1910s; 1920s
Q126369056,1900s
Q126369082,1920s
Q130286795,1900s
Q105546535,1910s
Q130286852,1910s; 1920s
Q130286835,1900s
Q114894460,1850s
Q130286860,1910s
Q132303765,1890s; 1900s
Q130314910,1890s
Q5702209,1900s; 1910s
Q130293699,1890s
Q130298894,1900s
Q130298910,1930s; 1940s
Q130298914,1910s
Q15999316,1900s
Q130298919,1920s
Q130298923,1870s
Q107156759,1880s
Q130298928,1900s
Q130298939,1890s
Q130298937,1920s
Q130298951,1890s
Q130298968,1900s
Q130298992,1920s
Q130299002,1890s; 1900s
Q130299060,1900s; 1910s
Q130299062,1890s
Q130299070,1910s; 1920s
Q116761668,1900s
Q130268030,1900s
Q65048475,1880s; 1890s
Q131759780,1920s
Q130308139,1910s
Q130309613,1900s
